date,jk_pc1_hf,jk_SP500_hf,jk_MP_pm,jk_CBI_pm,jk_MP_median,jk_CBI_median
2011-01-01,-0.0011667199999999996,0.19340000000000002,0.0,-0.0011667199999999996,-0.012104539999999999,0.01093782
2011-04-01,-0.006917799999999999,0.28166,-0.01029666,0.00337886,-0.02023788,0.013320080000000002
2011-07-01,0.027632180000000003,-1.48688,0.05393922,-0.02630704,0.10239216,-0.07475998
2011-10-01,0.01886098,-0.9515,0.01886098,0.0,0.06611303,-0.04725205
2012-01-01,-0.009914419999999998,0.3256,-0.01793829,0.00802387,-0.02435378,0.01443936
2012-04-01,0.01620543,-0.04393,0.01620543,0.0,0.010719699999999999,0.00548573
2012-07-01,0.028334230000000002,0.44427,0.01266329,0.01567094,-0.01229883,0.04063306
2012-10-01,-0.00353894,0.39208,-0.00353894,0.0,-0.02512636,0.02158742
2013-01-01,-0.00155967,0.03213999999999999,0.0,-0.00155967,-0.00269447,0.0011348
2013-04-01,0.00586385,0.07687,0.00474446,0.00111939,-0.0016473599999999996,0.007511209999999999
2013-07-01,-0.01919373,0.97524,-0.01510175,-0.00409198,-0.06769364,0.04849990999999999
2013-10-01,0.00353894,0.46577999999999997,0.00221214,0.0013268,-0.02597787,0.029516810000000004
2014-01-01,0.019304090000000003,-0.6078,0.019304090000000003,0.0,0.04585976,-0.02655567
2014-04-01,0.00802387,0.33537,0.0,0.00802387,-0.01596665,0.023990519999999998
2014-07-01,0.007863789999999999,0.64564,-0.00581173,0.01367552,-0.03453002,0.042393810000000004
2014-10-01,-0.027659069999999997,0.44731,-0.027659069999999997,0.0,-0.04047658,0.012817509999999999
2015-01-01,-0.0689553,1.17306,-0.06308127,-0.00587403,-0.10435891,0.03540361
2015-04-01,-0.04155506,0.42528,-0.04155506,0.0,-0.04611221,0.00455715
2015-07-01,-0.0788695,0.26871,-0.0788695,0.0,-0.05544228,-0.02342722
2015-10-01,0.06377026,-0.46628000000000003,0.03942826,0.024342,0.05966226,0.0041080000000000005
2016-01-01,-0.11191939000000001,-0.09888000000000002,-0.08459395,-0.02732544,-0.05006924,-0.06185015
2016-04-01,-0.03184645999999999,0.20009,0.0,-0.03184645999999999,-0.02784294,-0.00400352
2016-07-01,-0.02998606,0.50542,-0.03507374,0.00508768,-0.0451018,0.015115739999999999
2016-10-01,0.040223379999999996,-0.1797,0.03693849,0.00328489,0.03081674,0.00940664
2017-01-01,-0.0669588,0.44324,-0.0669588,0.0,-0.05988399,-0.00707481
2017-04-01,0.0327299,-0.002009999999999998,0.01901747,0.01371243,0.01648469,0.01624521
2017-07-01,0.02859203,-0.12517,0.02859203,0.0,0.02175261,0.00683942
2017-10-01,-0.00399692,0.16144,-0.00581173,0.00181481,-0.01161572,0.0076188
2018-01-01,0.0036008,0.24429,0.0036008,0.0,-0.012752389999999999,0.01635319
2018-04-01,0.01262712,0.007470000000000004,0.01262712,0.0,0.005868560000000002,0.00675856
2018-07-01,-0.0019134500000000001,0.24758,-0.00295558,0.00104213,-0.0157055,0.01379205
2018-10-01,0.02716392,-0.84684,0.023022,0.00414192,0.06402972,-0.0368658
2019-01-01,-0.05736931,1.27982,-0.05736931,0.0,-0.1049258,0.04755649
2019-04-01,-0.11455629,0.44243,-0.11455629,0.0,-0.08363449,-0.0309218
2019-07-01,0.07893404,-0.51103,0.07893404,0.0,0.06990998,0.00902406
2019-10-01,0.00788901,0.51687,-0.005602630000000001,0.01349164,-0.02684636,0.03473537
2020-01-01,-0.18547967999999998,0.02827,-0.16389354,0.00884406,-0.11804247000000001,-0.03700701
2020-04-01,-0.01642197,0.4038,-0.00227279,-0.01414918,-0.03226606,0.01584409
2020-07-01,-0.00502883,0.47511,-0.00502883,0.0,-0.03081756,0.02578873
2020-10-01,-0.0008535400000000001,-0.12827,-0.0008535400000000001,0.0,0.0072145,-0.00806804
2021-01-01,-0.0063492800000000005,0.19333000000000006,-0.0063492800000000005,0.0,-0.014691639999999999,0.00834236
2021-04-01,0.01800838,-0.43722,0.01800838,0.0,0.035050149999999995,-0.01704177
2021-07-01,0.00221214,0.55723,0.0,0.00221214,-0.032089110000000004,0.03430125
2021-10-01,0.041178839999999994,0.8540300000000001,0.0,0.041178839999999994,-0.030286650000000002,0.07146549
2022-01-01,0.08972909,-0.9627300000000001,0.09762881,-0.00789972,0.10221608,-0.01248699
2022-04-01,0.20350089000000002,-0.72774,0.23517149,-0.0316706,0.14510320999999998,0.058397679999999993
2022-07-01,0.08519416,-1.30124,0.08519416,0.0,0.12011424,-0.03492008
2022-10-01,0.010923360000000007,-0.44089,0.010923360000000007,0.0,0.03172627,-0.02080291
2023-01-01,-0.0174527,0.42259,-0.02776066,0.01030796,-0.03390079,0.016448090000000002
2023-04-01,0.07065783,-0.5811999999999999,0.05228828,0.01836955,0.06995202,0.0007058100000000012
2023-07-01,0.05497674,-0.08144999999999998,0.05101452,0.00396222,0.03234049,0.02263625
2023-10-01,-0.0652669,0.67484,-0.0652669,0.0,-0.07283486,0.0075679599999999994
2024-01-01,0.00013507000000000102,-0.06764,0.00013507000000000102,0.0,0.004096969999999998,-0.003961900000000001
2024-04-01,0.00846445,0.10248,0.00846445,0.0,-0.0018726899999999998,0.01033714
2024-07-01,-0.11786259000000002,0.53809,-0.13406728,0.01620469,-0.09098627000000001,-0.02687632
